AIDS,PIB,Usuários Internet,Crescimento Populacional,Desemprego,Investimentos Educação,Analfabetismo 15 e 24,Analfabetismo 25 e 64,Qtd Professores EF,Crianças Fora Escola,Qtd Alunos por professor,Qtd Alunos EF
1.0,15.94,4.0,2.81,8.1,3.46,2947366.0,6844551.6,118858.0,8.97,44.42,91.03
1.0,17.93,5.0,3.1,8.2,3.44,2947366.0,6844551.6,121593.0,8.97,43.52,91.03
1.0,20.54,5.45,3.27,8.0,2.53,2947366.0,6844551.6,129093.0,8.97,44.68,91.03
1.0,20.05,5.9,3.32,8.4,3.48,2947366.0,6844551.6,130957.0,8.97,45.71,91.03
1.0,20.05,7.0,3.18,8.6,3.78,2947366.0,6844551.6,130957.0,8.97,45.71,91.03
1.0,19.22,8.26,2.94,8.6,3.32,2947366.0,6844551.6,142880.0,8.97,44.33,91.03
0.0,11.93,45.0,-0.5,14.2,3.32,2947366.0,6844551.6,11409.0,8.97,19.7,91.03
1.0,12.89,49.0,-0.27,14.0,3.32,6547.0,19796.19,10854.0,6.77,19.87,93.23
0.0,12.32,54.66,-0.17,13.4,3.32,4302.0,15537.94,10605.0,3.86,19.48,96.14
0.0,12.78,57.2,-0.18,15.6,3.54,4302.0,15537.94,10402.0,4.09,19.12,95.91
0.0,13.23,60.1,-0.21,17.5,3.54,4302.0,15537.94,10343.0,4.08,18.92,95.92
0.0,11.34,63.25,-0.29,17.1,3.54,4302.0,15537.94,10119.0,4.08,18.62,95.92
1.0,161.21,12.5,1.82,10.0,3.54,4302.0,15537.94,141994.0,1.34,23.33,98.66
1.0,200.02,14.9,1.92,10.0,3.54,4302.0,15537.94,144537.0,1.25,23.27,98.75
1.0,209.06,18.2,2.01,11.0,3.54,4302.0,15537.94,149036.0,1.25,23.16,98.75
1.0,209.76,22.5,2.04,9.8,3.54,4302.0,15537.94,155144.0,1.25,23.26,98.75
1.0,213.81,29.5,2.0,10.6,3.54,4302.0,15537.94,159115.0,1.25,23.66,98.75
1.0,165.87,38.2,1.92,11.2,3.54,4302.0,15537.94,164684.0,1.19,23.84,98.81
1.0,82.47,2.8,3.57,6.2,3.48,4302.0,15537.94,93734.0,18.66,45.59,81.34
0.0,104.12,3.1,3.57,6.2,3.48,4302.0,15537.94,118158.0,15.99,42.54,84.01
0.0,115.4,6.5,3.56,6.2,3.48,4302.0,15537.94,118158.0,15.99,42.54,84.01
0.0,124.91,8.9,3.53,6.2,3.48,4302.0,15537.94,118158.0,15.99,42.54,84.01
0.0,126.78,10.2,3.49,6.2,3.48,1047558.0,2736780.71,118158.0,15.99,42.54,84.01
1.0,102.96,12.4,3.43,6.2,3.48,1047558.0,2736780.71,118158.0,15.99,42.54,84.01
1.0,423.63,45.0,1.04,7.7,4.99,1047558.0,2736780.71,118158.0,0.93,42.54,99.07
1.0,530.16,51.0,1.04,7.2,5.26,1047558.0,2736780.71,118158.0,0.86,42.54,99.14
0.0,545.98,55.8,1.05,7.2,5.32,1047558.0,2736780.71,118158.0,0.82,42.54,99.18
0.0,552.03,59.9,1.05,7.1,5.42,1047558.0,2736780.71,118158.0,0.65,42.54,99.35
1.0,526.32,64.7,1.03,7.3,5.33,1047558.0,2736780.71,118158.0,0.33,42.54,99.67
0.0,584.71,68.04,1.01,7.2,5.33,48105.0,340191.37,118158.0,0.33,42.54,99.67
0.0,9.26,25.0,-0.39,19.0,3.25,48105.0,340191.37,118158.0,0.33,42.54,99.67
0.0,10.14,32.0,-0.06,18.4,3.14,824.0,2034.22,118158.0,0.33,42.54,99.67
0.0,10.62,37.5,0.22,17.3,2.77,824.0,2034.22,118158.0,0.33,42.54,99.67
0.0,11.12,41.9,0.4,16.2,2.65,824.0,2034.22,118158.0,0.33,42.54,99.67
0.0,11.61,54.62,0.44,17.6,2.25,824.0,2034.22,118158.0,0.33,42.54,99.67
0.0,10.55,59.1,0.37,18.3,2.81,824.0,2034.22,118158.0,3.58,42.54,96.42
0.0,1142.88,76.0,1.56,5.2,5.56,824.0,2034.22,118158.0,2.89,42.54,97.11
1.0,1390.56,79.49,1.39,5.1,5.1,824.0,2034.22,118158.0,2.23,42.54,97.77
0.0,1538.19,79.0,1.72,5.2,4.9,824.0,2034.22,118158.0,2.34,42.54,97.66
0.0,1567.18,83.45,1.7,5.7,5.29,824.0,2034.22,118158.0,2.55,42.54,97.45
0.0,1459.6,84.0,1.47,6.1,5.23,824.0,2034.22,118158.0,2.86,42.54,97.14
0.0,1345.38,84.56,1.39,6.1,5.23,824.0,2034.22,118158.0,2.84,42.54,97.16
0.0,52.9,46.0,1.19,5.6,2.78,931.0,5071.58,43610.0,15.27,11.04,84.73
0.0,65.95,50.0,1.3,5.4,2.44,1036.0,4812.3,43242.0,12.73,11.16,87.27
0.0,69.68,54.2,1.33,5.2,2.1,1144.0,5348.35,41221.0,10.71,11.92,89.29
0.0,74.16,73.0,1.29,5.0,2.46,832.0,5196.59,41012.0,6.33,12.15,93.67
0.0,75.24,75.0,1.25,4.9,2.63,724.0,5450.94,41012.0,5.19,12.62,94.81
0.0,53.07,77.0,1.19,5.0,2.63,924.0,5306.86,40830.0,5.74,13.5,94.26
0.0,4.46,65.1,0.39,10.7,5.88,924.0,5306.86,1742.0,4.92,13.01,95.08
0.0,4.66,66.5,0.37,11.2,5.88,924.0,5306.86,1720.0,6.38,13.09,93.62
0.0,4.66,71.2,0.35,11.6,5.62,924.0,5306.86,1720.0,6.38,13.09,93.62
0.0,4.61,71.8,0.33,11.6,5.48,924.0,5306.86,1720.0,6.38,13.09,93.62
0.0,4.61,75.16,0.31,12.2,6.57,924.0,5306.86,1145.0,8.51,18.49,91.49
0.0,4.58,76.11,0.29,11.4,6.57,924.0,5306.86,1145.0,8.51,18.49,91.49
1.0,57.22,31.8,-0.17,0.7,5.43,924.0,5306.86,23907.0,8.6,14.97,91.4
