Country,2010,2011,2012,2013,2014,2015,2016
Afghanistan,3298,3498,3798,4198,4699,5299,5899
Albania,497,497,797,797,797,797,797
Algeria,3899,4199,4499,4799,5299,5599,5899
Angola,78000,81000,81000,80000,78000,78000,79000
Argentina,17800,18600,18800,18600,18400,19100,18500
Armenia,1197,1197,897,897,897,897,897
Australia,3399,3399,3499,3499,3499,3499,3498
Austria,0,0,0,0,0,0,0
Azerbaijan,3098,3098,2498,2498,2497,2497,2497
Bahrain,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0
Barbados,397,397,397,397,397,397,397
Belarus,5700,6000,6400,6700,7100,7200,7000
Belgium,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0
Benin,16500,16200,15700,15700,14900,13900,13100
Bhutan,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0
Botswana,43000,42000,39000,36000,36000,35000,32700
Brazil,120000,128000,128000,138000,142000,148000,138000
Brunei Darussalam,0,0,0,0,0,0,0
Bulgaria,1197,1497,1497,1497,1497,1497,1497
Burkina Faso,16100,15500,13600,12900,11600,10400,9600
Burundi,12700,12000,11200,10400,9800,8700,7700
Cabo Verde,497,497,497,497,497,497,497
Cambodia,6100,5400,4800,4500,4000,3700,3600
Cameroon,100000,96000,88000,81000,76000,69000,66000
Canada,0,0,0,0,0,0,0
Central African Republic,27200,26000,25200,23600,21800,19900,18500
Chad,22100,21500,21000,20000,18300,18200,17100
Chile,9900,11200,12400,13300,14200,14700,15100
China,0,0,0,0,0,0,0
Colombia,35700,35800,36800,36800,36600,37400,37200
Comoros,297,297,297,297,297,297,297
Costa Rica,2997,2997,2998,2998,3098,3098,3198
Croatia,297,297,297,397,397,397,397
Cuba,7100,7300,7500,7500,7300,7000,6700
Cyprus,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0
Djibouti,1997,1697,1697,1197,1197,1197,797
Dominican Republic,10100,9500,9300,9200,9000,8900,8700
Ecuador,9600,9400,9200,9400,9400,9400,9300
El Salvador,5300,4900,4500,4200,3800,3599,3499
Equatorial Guinea,11500,12700,13600,13500,13400,14400,15300
Eritrea,3198,2598,2497,2497,1997,1997,1997
Estonia,0,0,0,0,0,0,0
Ethiopia,91000,83000,75000,66000,63000,58700,57400
Fiji,397,397,397,397,697,697,797
Finland,0,0,0,0,0,0,0
France,16600,17600,17500,18000,19900,19500,19300
Gabon,7800,7800,7600,7300,6900,6500,5900
Georgia,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0
Ghana,70000,69000,68000,68000,67000,66000,65000
Greece,0,0,0,0,0,0,0
Guatemala,6100,5600,5300,4799,4399,4199,4199
Guinea,22000,21100,20400,17500,17800,19000,18200
Guinea-Bissau,9000,8700,8400,8000,7500,7500,7000
Guyana,1997,1997,1997,1997,1997,1997,1997
Haiti,26900,26100,25000,23700,22900,21900,21000
Honduras,3198,3298,3298,3399,3499,3599,3699
Hungary,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0
Italy,14900,14000,13400,12900,12299,11899,11599
Jamaica,6300,6100,6100,6000,6000,5900,5800
Japan,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0
Kazakhstan,6000,6400,7200,7900,8600,9400,9600
Kenya,243000,212000,209000,204000,192000,172000,157000
Kuwait,0,0,0,0,0,0,0
Latvia,1997,1997,1997,1997,1997,1997,1497
Lebanon,797,797,797,797,797,797,797
Lesotho,59000,54000,51000,48000,44000,40000,38000
Liberia,10100,9500,9300,9400,9100,8500,8300
Libya,2998,2998,2997,2497,2497,2497,2497
Lithuania,1497,1497,1497,1497,1497,1497,1497
Luxembourg,0,0,0,0,0,0,0
Madagascar,6000,7300,8500,10200,11800,13400,14800
Malawi,168000,156000,144000,139000,132000,126000,121000
Malaysia,16200,16000,16100,16200,15900,15600,16100
Maldives,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0
Mauritius,3098,2997,2997,2497,2497,2497,2497
Mexico,0,0,0,0,0,0,0
Mongolia,297,297,297,297,297,297,297
Montenegro,297,297,297,297,297,297,297
Morocco,3899,3799,3699,3599,3599,3499,3398
Mozambique,510000,499000,487000,487000,475000,473000,472000
Myanmar,47000,45000,44000,43000,41000,40000,38000
Namibia,32300,30900,29600,28600,25200,24500,23300
Nepal,6300,5300,4700,4000,3600,3300,3099
Netherlands,3099,2998,2997,2997,2997,2997,2497
New Zealand,797,797,797,797,797,797,797
Nicaragua,2497,2497,2497,2497,1997,1997,1997
Niger,4100,4400,4400,4400,4100,4400,3799
Nigeria,390000,390000,389000,365000,342000,331000,330000
Norway,0,0,0,0,0,0,0
Oman,497,497,497,497,497,497,497
Pakistan,43000,44000,47000,50000,53000,57000,60000
Panama,0,0,0,0,0,0,0
Papua New Guinea,7700,7800,8100,8500,8800,9300,9600
Paraguay,4099,4099,4099,4099,4099,4099,3999
Peru,11800,11800,11800,11500,11800,11800,11800
Philippines,15000,15500,18100,22100,26300,30400,33200
Poland,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0
Romania,3098,3098,3098,3098,3098,3098,3098
Russian Federation,0,0,0,0,0,0,0
Rwanda,29200,25300,24000,21800,20300,19100,18600
Saudi Arabia,0,0,0,0,0,0,0
Senegal,7000,6400,5800,5400,5300,4900,4700
Serbia,597,897,897,897,897,897,1197
Sierra Leone,18000,17600,17200,17500,17100,16700,16200
