Country Name,Indicator Code,2010,2011,2012,2013,2014
Afghanistan,SE.PRM.TENR,0.0,0.0,0.0,0.0,0.0
Afghanistan,NY.GDP.MKTP.CD,15936800636.25,17930239399.81,20536542736.73,20046334303.97,20050189881.67
Afghanistan,SE.XPD.TOTL.GD.ZS,3.46,3.44,2.53,3.48,3.78
Afghanistan,UIS.ILLPOP.AG25T64,0.0,6844551.6,0.0,0.0,0.0
Afghanistan,IT.NET.USER.P2,4.0,5.0,5.45,5.9,7.0
Afghanistan,SP.POP.GROW,2.81,3.1,3.27,3.32,3.18
Afghanistan,SE.PRM.ENRL.TC.ZS,44.42,43.52,44.68,45.71,0.0
Afghanistan,UIS.ROFST.1,0.0,0.0,0.0,0.0,0.0
Afghanistan,SE.PRM.TCHR,118858.0,121593.0,129093.0,130957.0,0.0
Afghanistan,SL.UEM.TOTL.ZS,8.1,8.2,8.0,8.4,8.6
Afghanistan,UIS.LP.AG15T24,0.0,2947366.0,0.0,0.0,0.0
Albania,SE.PRM.TENR,91.03,93.23,96.14,95.91,95.92
Albania,NY.GDP.MKTP.CD,11926953258.92,12890867538.53,12319784787.3,12776277515.48,13228244357.18
Albania,SE.XPD.TOTL.GD.ZS,0.0,0.0,0.0,3.54,0.0
Albania,UIS.ILLPOP.AG25T64,0.0,19796.19,15537.94,0.0,0.0
Albania,IT.NET.USER.P2,45.0,49.0,54.66,57.2,60.1
Albania,SP.POP.GROW,-0.5,-0.27,-0.17,-0.18,-0.21
Albania,SE.PRM.ENRL.TC.ZS,19.7,19.87,19.48,19.12,18.92
Albania,UIS.ROFST.1,8.97,6.77,3.86,4.09,4.08
Albania,SE.PRM.TCHR,11409.0,10854.0,10605.0,10402.0,10343.0
Albania,SL.UEM.TOTL.ZS,14.2,14.0,13.4,15.6,17.5
Albania,UIS.LP.AG15T24,0.0,6547.0,4302.0,0.0,0.0
Algeria,SE.PRM.TENR,98.66,98.75,0.0,0.0,0.0
Algeria,NY.GDP.MKTP.CD,161207268655.39,200019057307.66,209058991952.12,209755003250.66,213810022462.43
Algeria,SE.XPD.TOTL.GD.ZS,0.0,0.0,0.0,0.0,0.0
Algeria,UIS.ILLPOP.AG25T64,0.0,0.0,0.0,0.0,0.0
Algeria,IT.NET.USER.P2,12.5,14.9,18.2,22.5,29.5
Algeria,SP.POP.GROW,1.82,1.92,2.01,2.04,2.0
Algeria,SE.PRM.ENRL.TC.ZS,23.33,23.27,23.16,23.26,23.66
Algeria,UIS.ROFST.1,1.34,1.25,0.0,0.0,0.0
Algeria,SE.PRM.TCHR,141994.0,144537.0,149036.0,155144.0,159115.0
Algeria,SL.UEM.TOTL.ZS,10.0,10.0,11.0,9.8,10.6
Algeria,UIS.LP.AG15T24,0.0,0.0,0.0,0.0,0.0
American Samoa,SE.PRM.TENR,0.0,0.0,0.0,0.0,0.0
American Samoa,NY.GDP.MKTP.CD,576000000.0,574000000.0,644000000.0,641000000.0,643000000.0
American Samoa,SE.XPD.TOTL.GD.ZS,0.0,0.0,0.0,0.0,0.0
American Samoa,UIS.ILLPOP.AG25T64,0.0,0.0,0.0,0.0,0.0
American Samoa,IT.NET.USER.P2,0.0,0.0,0.0,0.0,0.0
American Samoa,SP.POP.GROW,-1.05,-0.57,-0.16,0.14,0.23
American Samoa,SE.PRM.ENRL.TC.ZS,0.0,0.0,0.0,0.0,0.0
American Samoa,UIS.ROFST.1,0.0,0.0,0.0,0.0,0.0
American Samoa,SE.PRM.TCHR,0.0,0.0,0.0,0.0,0.0
American Samoa,SL.UEM.TOTL.ZS,0.0,0.0,0.0,0.0,0.0
American Samoa,UIS.LP.AG15T24,0.0,0.0,0.0,0.0,0.0
Andorra,SE.PRM.TENR,0.0,0.0,0.0,0.0,0.0
Andorra,NY.GDP.MKTP.CD,3355695364.24,3442062830.14,3164615186.95,3281585236.33,3350736367.25
Andorra,SE.XPD.TOTL.GD.ZS,3.07,3.16,0.0,2.46,3.0
Andorra,UIS.ILLPOP.AG25T64,0.0,0.0,0.0,0.0,0.0
Andorra,IT.NET.USER.P2,81.0,81.0,86.43,94.0,95.9
Andorra,SP.POP.GROW,-0.02,-0.83,-1.59,-2.01,-1.96
Andorra,SE.PRM.ENRL.TC.ZS,9.64,9.85,9.58,9.33,9.52
Andorra,UIS.ROFST.1,0.0,0.0,0.0,0.0,0.0
Andorra,SE.PRM.TCHR,453.0,433.0,431.0,436.0,427.0
Andorra,SL.UEM.TOTL.ZS,0.0,0.0,0.0,0.0,0.0
Andorra,UIS.LP.AG15T24,0.0,0.0,0.0,0.0,0.0
Angola,SE.PRM.TENR,81.34,84.01,0.0,0.0,0.0
Angola,NY.GDP.MKTP.CD,82470913120.73,104115923082.74,115398371427.67,124912063308.2,126776874216.7
Angola,SE.XPD.TOTL.GD.ZS,3.48,0.0,0.0,0.0,0.0
Angola,UIS.ILLPOP.AG25T64,0.0,0.0,0.0,0.0,2736780.71
Angola,IT.NET.USER.P2,2.8,3.1,6.5,8.9,10.2
Angola,SP.POP.GROW,3.57,3.57,3.56,3.53,3.49
Angola,SE.PRM.ENRL.TC.ZS,45.59,42.54,0.0,0.0,0.0
Angola,UIS.ROFST.1,18.66,15.99,0.0,0.0,0.0
Angola,SE.PRM.TCHR,93734.0,118158.0,0.0,0.0,0.0
Angola,SL.UEM.TOTL.ZS,6.2,6.2,6.2,6.2,6.2
Angola,UIS.LP.AG15T24,0.0,0.0,0.0,0.0,1047558.0
Antigua and Barbuda,SE.PRM.TENR,89.48,87.54,85.97,0.0,85.83
Antigua and Barbuda,NY.GDP.MKTP.CD,1152469074.07,1142042925.93,1211411703.7,1192925407.41,1280133333.33
Antigua and Barbuda,SE.XPD.TOTL.GD.ZS,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,UIS.ILLPOP.AG25T64,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,IT.NET.USER.P2,47.0,52.0,58.0,63.4,67.78
Antigua and Barbuda,SP.POP.GROW,1.15,1.11,1.1,1.08,1.07
Antigua and Barbuda,SE.PRM.ENRL.TC.ZS,15.07,14.51,13.85,0.0,14.25
Antigua and Barbuda,UIS.ROFST.1,10.52,12.46,14.03,0.0,14.17
Antigua and Barbuda,SE.PRM.TCHR,747.0,748.0,755.0,0.0,714.0
Antigua and Barbuda,SL.UEM.TOTL.ZS,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,UIS.LP.AG15T24,0.0,0.0,0.0,0.0,0.0
Argentina,SE.PRM.TENR,99.07,99.14,99.18,99.35,99.67
Argentina,NY.GDP.MKTP.CD,423627422092.49,530163281574.66,545982375701.13,552025140252.25,526319673731.64
Argentina,SE.XPD.TOTL.GD.ZS,4.99,5.26,5.32,5.42,5.33
Argentina,UIS.ILLPOP.AG25T64,0.0,0.0,0.0,0.0,0.0
Argentina,IT.NET.USER.P2,45.0,51.0,55.8,59.9,64.7
Argentina,SP.POP.GROW,1.04,1.04,1.05,1.05,1.03
Argentina,SE.PRM.ENRL.TC.ZS,0.0,0.0,0.0,0.0,0.0
Argentina,UIS.ROFST.1,0.93,0.86,0.82,0.65,0.33
Argentina,SE.PRM.TCHR,0.0,0.0,0.0,0.0,0.0
Argentina,SL.UEM.TOTL.ZS,7.7,7.2,7.2,7.1,7.3
Argentina,UIS.LP.AG15T24,0.0,0.0,0.0,0.0,0.0
Armenia,SE.PRM.TENR,0.0,0.0,0.0,0.0,0.0
Armenia,NY.GDP.MKTP.CD,9260284937.8,10142111334.5,10619320048.59,11121465767.41,11609512939.75
Armenia,SE.XPD.TOTL.GD.ZS,3.25,3.14,2.77,2.65,2.25
Armenia,UIS.ILLPOP.AG25T64,0.0,2034.22,0.0,0.0,0.0
Armenia,IT.NET.USER.P2,25.0,32.0,37.5,41.9,54.62
Armenia,SP.POP.GROW,-0.39,-0.06,0.22,0.4,0.44
Armenia,SE.PRM.ENRL.TC.ZS,0.0,0.0,0.0,0.0,0.0
Armenia,UIS.ROFST.1,0.0,0.0,0.0,0.0,0.0
Armenia,SE.PRM.TCHR,0.0,0.0,0.0,0.0,0.0
Armenia,SL.UEM.TOTL.ZS,19.0,18.4,17.3,16.2,17.6
Armenia,UIS.LP.AG15T24,0.0,824.0,0.0,0.0,0.0
Aruba,SE.PRM.TENR,98.92,0.0,0.0,0.0,99.31
Aruba,NY.GDP.MKTP.CD,2467703910.61,2584463687.15,0.0,0.0,0.0
Aruba,SE.XPD.TOTL.GD.ZS,6.71,6.04,6.55,6.81,6.16
Aruba,UIS.ILLPOP.AG25T64,1279.62,0.0,0.0,0.0,0.0
Aruba,IT.NET.USER.P2,62.0,69.0,74.0,78.9,83.78
Aruba,SP.POP.GROW,0.21,0.38,0.51,0.59,0.59
Aruba,SE.PRM.ENRL.TC.ZS,16.82,15.09,14.79,0.0,0.0
Aruba,UIS.ROFST.1,1.08,0.0,0.0,0.0,0.69
Aruba,SE.PRM.TCHR,586.0,604.0,601.0,0.0,0.0
Aruba,SL.UEM.TOTL.ZS,0.0,0.0,0.0,0.0,0.0
Aruba,UIS.LP.AG15T24,107.0,0.0,0.0,0.0,0.0
Australia,SE.PRM.TENR,97.11,97.77,97.66,97.45,97.14
Australia,NY.GDP.MKTP.CD,1142876772659.21,1390557034407.97,1538194473087.23,1567178619062.28,1459597906912.7
Australia,SE.XPD.TOTL.GD.ZS,5.56,5.1,4.9,5.29,5.23
Australia,UIS.ILLPOP.AG25T64,0.0,0.0,0.0,0.0,0.0
Australia,IT.NET.USER.P2,76.0,79.49,79.0,83.45,84.0
Australia,SP.POP.GROW,1.56,1.39,1.72,1.7,1.47
