Country Name,PIB (Bilhões),Usuários Internet,Crescimento Populacional,Desemprego,Investimentos Educação,Analfabetismo 15 a 24 anos,Analfabetismo 25 a 64 anos,Qtd Professores EF,Crianças Fora Escola,Qtd Alunos por professor,Qtd Alunos EF,Usuários Internet (por 100),Crescimento Populacional (%),Qtd Professores EF (por 1000),Desemprego (%),Investimentos Educação (%),Analfabetismo 15 a 24 anos (por 1000),Analfabetismo 25 a 64 anos (por 1000),Crianças Fora Escola (por 1000),Qtd Alunos por professor (por 1000),Qtd Alunos EF (por 1000),AIDS,AIDS 1000 pessoas,AIDS,AIDS 1000 pessoas
Afghanistan,19.03,6.601428571428571,3.0442857142857145,8.357142857142858,3.3350000000000004,2947366.0,6844551.6,128676.2,0.0,44.532000000000004,0.0,6.6,3.04,128.68,8.36,3.34,2947.37,6844.55,0.0,0.04,0.0,4.38,0.0,4.38,0.0
Albania,12.33,56.510000000000005,-0.2542857142857143,15.285714285714288,3.54,5424.5,17667.065,10622.0,5.554,19.285,94.446,56.51,-0.25,10.62,15.29,3.54,5.42,17.67,5.55,0.02,94.45,0.71,0.0,0.71,0.0
Algeria,188.4,25.535714285714285,1.9342857142857142,10.585714285714285,0.0,0.0,0.0,152418.33333333334,1.26,23.419999999999998,98.74000000000001,25.54,1.93,152.42,10.59,0.0,0.0,0.0,1.26,0.02,98.74,4.88,0.0,4.88,0.0
American Samoa,0.63,0.0,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.29,0.08,79.29,0.08
Andorra,3.18,90.45285714285716,-1.2699999999999998,0.0,2.9880000000000004,0.0,0.0,433.1666666666667,0.0,9.643333333333333,0.0,90.45,-1.27,0.43,0.0,2.99,0.0,0.0,0.0,0.01,0.0,18.54,0.02,18.54,0.02
Angola,107.42,8.128571428571428,3.5028571428571427,6.185714285714286,3.48,1047558.0,2736780.71,105946.0,17.325,44.065,82.67500000000001,8.13,3.5,105.95,6.19,3.48,1047.56,2736.78,17.32,0.04,82.68,0.98,0.0,0.98,0.0
Antigua and Barbuda,1.26,61.597142857142856,1.0857142857142856,0.0,0.0,0.0,0.0,733.4,12.186,14.402000000000001,87.814,61.6,1.09,0.73,0.0,0.0,0.0,0.0,12.19,0.01,87.81,3.47,0.0,3.47,0.0
Argentina,529.76,59.22714285714286,1.0285714285714285,7.5,5.264,48105.0,340191.37,0.0,0.718,0.0,99.28200000000001,59.23,1.03,0.0,7.5,5.26,48.1,340.19,0.72,0.0,99.28,0.0,0.0,0.0,0.0
Armenia,10.55,44.58857142857143,0.17857142857142858,17.771428571428572,2.811666666666667,824.0,2034.22,0.0,3.58,0.0,96.42,44.59,0.18,0.0,17.77,2.81,0.82,2.03,3.58,0.0,96.42,2.67,0.0,2.67,0.0
Aruba,2.53,78.5542857142857,0.4657142857142857,0.0,6.453999999999999,107.0,1279.62,597.0,0.885,15.566666666666668,99.11500000000001,78.55,0.47,0.6,0.0,6.45,0.11,1.28,0.88,0.02,99.12,0.0,0.0,0.0,0.0
