Pais,Indicador,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
Afghanistan,SE.PRM.TENR,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AIDS,1.0,1.0,1.0,1.0,1.0,1.0
Afghanistan,UIS.LP.AG15T24,0.0,2947366.0,0.0,0.0,0.0,0.0
Afghanistan,SL.UEM.TOTL.ZS,8.1,8.2,8.0,8.4,8.6,8.6
Afghanistan,SE.PRM.TCHR,118858.0,121593.0,129093.0,130957.0,0.0,142880.0
Afghanistan,UIS.ROFST.1,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,NY.GDP.MKTP.CD,15936800636.25,17930239399.81,20536542736.73,20046334303.97,20050189881.67,19215562179.01
Afghanistan,SP.POP.GROW,2.81,3.1,3.27,3.32,3.18,2.94
Afghanistan,IT.NET.USER.P2,4.0,5.0,5.45,5.9,7.0,8.26
Afghanistan,UIS.ILLPOP.AG25T64,0.0,6844551.6,0.0,0.0,0.0,0.0
Afghanistan,SE.XPD.TOTL.GD.ZS,3.46,3.44,2.53,3.48,3.78,3.32
Afghanistan,SE.PRM.ENRL.TC.ZS,44.42,43.52,44.68,45.71,0.0,44.33
Albania,AIDS,0.0,1.0,0.0,0.0,0.0,0.0
Albania,UIS.LP.AG15T24,0.0,6547.0,4302.0,0.0,0.0,0.0
Albania,SL.UEM.TOTL.ZS,14.2,14.0,13.4,15.6,17.5,17.1
Albania,SE.PRM.TCHR,11409.0,10854.0,10605.0,10402.0,10343.0,10119.0
Albania,UIS.ROFST.1,8.97,6.77,3.86,4.09,4.08,0.0
Albania,SE.PRM.ENRL.TC.ZS,19.7,19.87,19.48,19.12,18.92,18.62
Albania,SP.POP.GROW,-0.5,-0.27,-0.17,-0.18,-0.21,-0.29
Albania,IT.NET.USER.P2,45.0,49.0,54.66,57.2,60.1,63.25
Albania,UIS.ILLPOP.AG25T64,0.0,19796.19,15537.94,0.0,0.0,0.0
Albania,SE.XPD.TOTL.GD.ZS,0.0,0.0,0.0,3.54,0.0,0.0
Albania,NY.GDP.MKTP.CD,11926953258.92,12890867538.53,12319784787.3,12776277515.48,13228244357.18,11335264966.56
Albania,SE.PRM.TENR,91.03,93.23,96.14,95.91,95.92,0.0
Algeria,AIDS,1.0,1.0,1.0,1.0,1.0,1.0
Algeria,UIS.LP.AG15T24,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,SL.UEM.TOTL.ZS,10.0,10.0,11.0,9.8,10.6,11.2
Algeria,SE.PRM.TCHR,141994.0,144537.0,149036.0,155144.0,159115.0,164684.0
Algeria,UIS.ROFST.1,1.34,1.25,0.0,0.0,0.0,1.19
Algeria,SE.PRM.ENRL.TC.ZS,23.33,23.27,23.16,23.26,23.66,23.84
Algeria,SP.POP.GROW,1.82,1.92,2.01,2.04,2.0,1.92
Algeria,IT.NET.USER.P2,12.5,14.9,18.2,22.5,29.5,38.2
Algeria,UIS.ILLPOP.AG25T64,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,SE.XPD.TOTL.GD.ZS,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,NY.GDP.MKTP.CD,161207268655.39,200019057307.66,209058991952.12,209755003250.66,213810022462.43,165874330876.32
Algeria,SE.PRM.TENR,98.66,98.75,0.0,0.0,0.0,98.81
Angola,AIDS,1.0,0.0,0.0,0.0,0.0,1.0
Angola,UIS.LP.AG15T24,0.0,0.0,0.0,0.0,1047558.0,0.0
Angola,SL.UEM.TOTL.ZS,6.2,6.2,6.2,6.2,6.2,6.2
Angola,SE.PRM.TCHR,93734.0,118158.0,0.0,0.0,0.0,0.0
Angola,UIS.ROFST.1,18.66,15.99,0.0,0.0,0.0,0.0
Angola,SE.PRM.ENRL.TC.ZS,45.59,42.54,0.0,0.0,0.0,0.0
Angola,SP.POP.GROW,3.57,3.57,3.56,3.53,3.49,3.43
